,Data,Accuracy,Precision,Recall,F1 score,ndcg,k_ndcg,rmse,rmse_norm,density,avg_ndcg_loo,k_ndcg_loo,rmse_loo,rmse_normalized_loo,num_users_loo
0,TikTok Experiment,0.37309160305343514,0.3476759486269651,0.3010968994575552,0.2873526022933051,0.8871809860693027,3,1.3324647673112522,0.8090229584644918,0.6113095238095239,0.8071340084820692,10,1.3201712937553562,0.7879323028605573,80
1,TikTok Real-World,0.18544461177459462,0.30538444624449895,0.2112888761898335,0.14474942193028317,0.8030797598147715,3,1.5466077051982086,0.9344424009770983,0.08363703113011929,0.05509899424439909,10,1.5483815838399166,0.9504533296381085,334
2,MovieLens 100k,0.42236085867269246,0.38545367279442005,0.27131661592039163,0.27830490622631765,0.87301829308123,3,0.9388172125145114,0.8353068829023639,0.06304669364224531,0.001725325787152892,10,1.0220477100625127,0.9079477577837008,943
