,Date,Link,video_id,in_playlist,in_playlist_final,video_id_playlist,video_id_playlist_final,watching_time,video_duration,video_likes,video_shares,video_comments,video_plays,video_saves,watched_until_end,percentage_watched_float,percentage_watched,watched_6s+,prolific_group,SEQUENTIAL_ID,tt_account,like,comment,Year born,English,Arabic,Bengali,Chinese,Dutch,Finnish,French,German,Greek,Gujarati,Haitian Creole,Hebrew,Hindi,Italian,Japanese,Kannada,Khmer,Korean,Malayalam,Polish,Portuguese,Punjabi,Romanian,Russian,Spanish,Swedish,Tagalog,Tamil,Telugu,Thai,Ukrainian,Vietnamese,How long use TikTok,How often access TikTok,How many videos engage with,Avg time PER DAY in the past week using TikTok,Gender_Man,Gender_Prefer not to answer,Gender_Woman,American Indian or Alaska Native,Asian or Asian American,Black or African American,Hispanic or Latino,Middle Eastern,Native Hawaiian or Pacific Islander,Race_Prefer not to answer,White,Disabled and not able to work,Employed full time,Employed part time,Employment status Other,Homemaker,In the military,Not employed NOT looking for work,Not employed looking for work,Employment_Prefer not to answer,Retired,Self-employed,Student,Democrat,Republican,School degree,Income,TikTok viewer,TikTok creator,TikTok personal,TikTok business,Before going to bed,During breaks of work,When access TikTok Other,When commuting,When eating,When families are watching other content,When getting up in the morning,When nothing to do,When traveling,When using the restroom,When waiting shortly,common_interests,all_interests,jacc_original_interests,num_topics_video,jacc_interests
0,2023-09-19 12:33:07,https://www.tiktokv.com/share/video/7270933407155277102/,7270933407155277102,1,1,0,0,26.0,24.0,1500000.0,5957.0,8344.0,10700000.0,159053.0,1,108.33333333333331,100.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,33.0,0.06060606060606061,2.0,1.0
1,2023-09-19 12:33:33,https://www.tiktokv.com/share/video/7266282716625161474/,7266282716625161474,1,1,1,1,3.0,9.0,49100.0,1333.0,1680.0,711000.0,5398.0,0,33.33333333333333,33.0,0,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1.0,33.0,0.030303030303030304,1.0,1.0
2,2023-09-19 12:33:41,https://www.tiktokv.com/share/video/7256194262050802990/,7256194262050802990,1,1,2,2,15.0,470.0,3373.0,273.0,119.0,26700.0,17.0,0,3.191489361702128,3.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,33.0,0.06060606060606061,2.0,1.0
3,2023-09-19 12:33:56,https://www.tiktokv.com/share/video/7255321132495047979/,7255321132495047979,1,1,3,3,114.0,331.0,2900000.0,12400.0,24600.0,49500000.0,277847.0,0,34.44108761329305,34.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,33.0,0.06060606060606061,2.0,1.0
4,2023-09-19 12:35:50,https://www.tiktokv.com/share/video/7271266223709572354/,7271266223709572354,1,1,6,4,13.0,16.0,378700.0,3393.0,1983.0,4700000.0,138875.0,0,81.25,81.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,33.0,0.06060606060606061,2.0,1.0
5,2023-09-19 12:36:03,https://www.tiktokv.com/share/video/7275356088806034689/,7275356088806034689,1,1,7,5,22.0,167.0,72400.0,809.0,1372.0,1700000.0,5152.0,0,13.17365269461078,13.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,3.0,33.0,0.09090909090909091,3.0,1.0
6,2023-09-19 12:36:25,https://www.tiktokv.com/share/video/7272423353061887275/,7272423353061887275,1,1,8,6,4.0,62.0,8000000.0,186600.0,60500.0,51500000.0,836429.0,0,6.451612903225806,6.0,0,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,33.0,0.06060606060606061,2.0,1.0
7,2023-09-19 12:36:29,https://www.tiktokv.com/share/video/7261289728257871111/,7261289728257871111,1,1,9,7,8.0,339.0,792100.0,55300.0,2787.0,12600000.0,105430.0,0,2.359882005899705,2.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,3.0,33.0,0.09090909090909091,3.0,1.0
8,2023-09-19 12:36:37,https://www.tiktokv.com/share/video/7271398586221350177/,7271398586221350177,1,1,10,8,4.0,15.0,649600.0,1523.0,2387.0,3700000.0,40193.0,0,26.666666666666668,27.0,0,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,2.0,34.0,0.058823529411764705,3.0,0.6666666666666666
9,2023-09-19 12:36:41,https://www.tiktokv.com/share/video/7267533677897207082/,7267533677897207082,1,1,11,9,68.0,67.0,6200000.0,20700.0,17500.0,88600000.0,498508.0,1,101.49253731343283,100.0,1,"FEMALE, 55+",169,tt_account1,0,0,1964.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,2,10,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,5,65,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1.0,33.0,0.030303030303030304,1.0,1.0
